"ano_mes","focos","media_dias_sem_chuva","sd_dias_sem_chuva","precipitacao_total","sd_precipitacao_total","precipitacao_media","sd_precipitacao_media"
"2018-05",8372,7.88664596273292,8.96049431507,2602.4,NA,0.310845676063067,NA
"2018-06",22684,25.4906500837964,13.9056820599561,2752.3,NA,0.121332216540293,NA
"2018-07",60857,31.9394058950206,23.9667568862045,15569.2,NA,0.255832525428463,NA
"2018-08",132491,12.0797268407654,23.733511572155,193005.5,NA,1.45674423168366,NA
"2018-09",271332,9.23294326842909,18.4398922139458,203254.7,NA,0.749099627025194,NA
"2018-10",159299,6.44368213290285,7.61063959577086,184743.7,NA,1.15972918850715,NA
"2018-11",85026,6.01389227394589,5.18020496571838,81354.9,NA,0.977212559458031,NA
"2018-12",14104,4.33129836019025,4.51091432465412,14098.2,NA,0.999588769143505,NA
"2019-01",14592,6.58891026521918,7.66767244492457,18102.5,NA,1.24057702850877,NA
"2019-02",21889,21.5559718541533,14.3840958400546,7332.7,NA,0.334994746219562,NA
"2019-03",101675,22.3279992918544,19.8650053871417,21344.4,NA,0.209927710843373,NA
"2019-04",37339,6.12319888585355,5.80203747721703,14541.6,NA,0.3894480302097,NA
"2019-05",11886,5.76661618711089,3.74779804433971,6727.5,NA,0.566002019182231,NA
"2019-06",30166,18.2678494445366,11.020442002899,3569.7,NA,0.118335211827886,NA
"2019-07",86872,23.7794431559879,20.2222167471514,11147.7,NA,0.128539307704725,NA
"2019-08",566908,23.1089334355536,22.1454034813447,222785.7,NA,0.393409265488836,NA
"2019-09",413542,31.8651761105584,42.2321256816038,570312,NA,1.38561449969023,NA
"2019-10",170351,3.08109512980301,6.15849396256006,359280.9,NA,2.10906246514549,NA
"2019-11",140556,3.35550153549621,2.90057076998757,211044.5,NA,1.50149762372293,NA
"2019-12",44880,4.7414184046876,3.96282752618277,59118.9,NA,1.31726604278075,NA
"2020-01",9837,5.62855980471928,6.15415421640534,12261.77,NA,1.24649486632103,NA
"2020-02",12874,8.23693000854502,7.6898862669198,6223.7,NA,0.48343172285226,NA
"2020-03",19834,6.78901952868749,4.95527478713944,15600.5,NA,0.786553393163255,NA
"2020-04",6747,2.50808485387925,2.1208590085258,9965.01,NA,1.4769542018675,NA
"2020-05",9293,4.33107162089391,3.10362961475513,5766.42,NA,0.620512213494028,NA
"2020-06",30177,15.0679563327471,9.67982396965835,5419.6,NA,0.179593730324419,NA
"2020-07",115408,24.8014424748001,19.7794566318917,13195.9,NA,0.114341293497851,NA
"2020-08",593537,31.3914820337062,26.5218271840915,227168.34,NA,0.382736611196944,NA
"2020-09",614319,27.3435665729116,37.8759661167903,644302.59,NA,1.05528399849971,NA
"2020-10",395800,4.10543904596802,4.55328665348555,612998,NA,1.56360287928334,NA
"2020-11",102355,1.92096810036566,2.19618154402522,248655.1,NA,2.5004283774951,NA
"2020-12",47367,2.03856936538952,1.9894266206746,60618.9,NA,1.27977072645513,NA
"2021-01",8216,2.05989710926017,2.39675222063145,16062.1,NA,1.95497809152872,NA
"2021-02",9958,3.35615199034982,2.44207352103791,9265.6,NA,0.930467965454911,NA
"2021-03",7155,1.93588128237435,1.76292417761643,12810,NA,1.79035639412998,NA
"2021-04",4610,2.6038678835289,2.18602639509668,6653.3,NA,1.44323210412148,NA
"2021-05",19373,6.56406548572019,4.63156153964015,6888.1,NA,0.355551540804212,NA
"2021-06",34444,19.5469680681059,13.4982999150328,6745.7,NA,0.195845430263616,NA
"2021-07",116557,25.1925689310217,18.1740347850578,14773.3,NA,0.126747428296885,NA
"2021-08",734239,32.6838440547828,61.9740241507451,440694.6,NA,0.600205927497724,NA
"2021-09",340923,12.3804024085769,26.6617732038693,758322.8,NA,2.22432279429666,NA
"2021-10",247413,3.00856122697395,2.89658814121562,414474,NA,1.67523129342436,NA
"2021-11",72982,1.79609948655662,1.78273910711377,146615.9,NA,2.00893233948097,NA
"2021-12",13160,1.22873651771957,1.54800626290923,29375.4,NA,2.23217325227964,NA
"2022-01",16919,5.0600520648444,5.65524349752352,18426.7,NA,1.08911283172764,NA
"2022-02",8677,3.28840161569533,3.80561687532413,14649.9,NA,1.68836003226922,NA
"2022-03",3585,1.1866964784796,1.72544369001669,11094.2,NA,3.09461645746165,NA
"2022-04",6876,3.21115537848606,2.37188983123482,7043.4,NA,1.0385432025951,NA
"2022-05",24229,7.61849830480443,5.35098809119745,6177.51,NA,0.255311208464209,NA
"2022-06",43064,21.4515091045148,15.6225785740888,6144.08,NA,0.153024333142387,NA
"2022-07",129510,28.2448063389044,21.2486585372947,21701.53,NA,0.215252382983366,NA
