"ano";"mes";"dias_chuva";"precipitacao_total";"temperatura_media"
2023;5;13.907407407407407;7162.600000000001;26.46538461538461
2023;6;8.555555555555555;3303.7999999999997;26.07241379310345
2023;7;6.2727272727272725;2494.8;26.427586206896557
2023;8;5.107142857142857;1889.1999999999996;27.68596491228071
2023;9;5.859649122807017;2701.0;28.555172413793095
2023;10;7.983050847457627;3139.9999999999995;28.718965517241394
2023;11;9.67741935483871;4285.400000000001;28.065517241379304
2023;12;15.363636363636363;7817.400000000001;27.203076923076917
2024;1;20.693548387096776;13879.599999999999;26.533846153846156
2024;2;17.868852459016395;12712.600000000006;26.585483870967742
2024;3;20.41269841269841;16161.199999999997;26.77076923076923
2024;4;20.246153846153845;15488.999999999996;26.724242424242426
2024;5;14.238095238095237;8976.4;26.599999999999998
2024;6;8.114754098360656;3807.5999999999995;26.515625
