"ano";"mes";"nome_mes";"temp_max_media_mensal";"temp_media_mensal";"temp_min_media_mensal";"umidade_media_mensal";"umidade_min_media_mensal";"temp_max_abs_mensal";"temp_min_abs_mensal"
2019;8;Agosto;34.001584427342685;26.558414918414925;20.721894832275627;64.66632007233284;37.31684027777778;39.9;5.8
2019;9;Setembro;35.101409135082626;27.800491883915377;22.436791080950062;65.74702994599905;39.24657534246575;42.0;13.9
2019;10;Outubro;33.287881508079;26.724050632911382;22.655869175627245;75.37773186409564;48.034330985915496;40.0;17.6
2019;11;Novembro;32.7496412556054;26.665683159328164;23.000581915846016;78.5225494707778;52.50290308173292;38.9;17.9
2019;12;Dezembro;32.19529713552801;26.46975630983462;23.113091684434977;80.13369470945366;55.623027718550105;38.3;18.8
2020;1;Janeiro;31.477579451458432;26.065026595744705;22.99704347826089;81.91617713511084;57.95682511993022;36.8;18.1
2020;2;Fevereiro;31.30899653979239;25.94416371905004;23.02280098280098;82.77754065040656;58.8575624082232;37.6;17.2
2020;3;Março;31.359404005862228;25.97795315682284;23.14282926829267;82.95953699043801;59.029865125240846;38.0;18.4
2020;4;Abril;31.448585858585872;25.991217257318954;22.899899396378277;83.12755156002122;58.72331815882651;36.9;14.4
2020;5;Maio;31.790728831725612;26.09384277075316;22.498289684660605;80.7220715835142;56.08217054263566;36.0;11.0
2020;6;Junho;32.35349526066349;25.986908420405634;21.334042553191487;75.24632972322507;48.703259005145796;36.0;13.4
2020;7;Julho;33.33193846153846;26.036270753512134;20.25341118623234;67.74374209860932;39.6384571099597;40.5;12.1
2020;8;Agosto;34.69328903654485;26.984950071326676;20.756573705179292;61.72446735395189;34.36256218905473;40.3;8.1
2020;9;Setembro;35.559164222873896;28.005432287681714;21.97693430656935;60.69598180439723;34.885268160217244;41.7;14.1
2020;10;Outubro;34.77914614121511;27.792614601018695;22.835106382978736;68.17061728395063;41.04974765681327;41.2;15.9
2020;11;Novembro;32.72584670231732;26.712265917602988;22.949107142857155;76.5490532010821;50.857894736842105;38.1;17.8
2020;12;Dezembro;32.14800974817221;26.306917688266193;22.743276283618563;79.16931911402793;54.390503189227495;37.9;18.4
2021;1;Janeiro;31.637459283387624;25.82793196060877;22.51337630942787;81.27058353317346;56.88511216859279;38.9;18.0
2021;2;Fevereiro;30.43025732031944;25.364966949952787;22.69324444444446;85.00867992766727;62.60061680801851;35.1;18.9
2021;3;Março;30.908340727595398;25.41933333333333;22.382728077945096;84.26801075268816;59.652274479568234;37.1;18.4
2021;4;Abril;31.538047808764915;25.934854771784238;22.790348258706477;83.27673935617858;58.12829525483304;36.3;17.1
2021;5;Maio;32.21199999999998;26.026601520086853;21.744584647739227;77.99869706840387;51.42527754056362;36.7;13.0
2021;6;Junho;32.61000000000001;25.8031969309463;20.65042016806722;72.97735849056603;46.016949152542374;36.3;7.4
2021;7;Julho;33.30893782383421;25.802462380300945;19.530440414507773;64.45418918918915;38.990128331688055;44.3;10.0
2021;8;Agosto;34.750495049504956;27.090841949778433;20.52269503546099;57.42887029288702;33.67453798767967;39.6;13.0
2021;9;Setembro;34.955684754521954;27.673821989528808;22.290874035989713;64.60753968253967;39.44015825914936;41.4;16.0
2021;10;Outubro;33.56002400960385;27.106203473945417;22.866786570743397;73.77213930348258;47.40155945419103;38.5;18.8
2021;11;Novembro;31.520895522388063;25.90798969072164;22.753731343283587;81.90225281602007;57.177842565597665;36.4;18.6
2021;12;Dezembro;30.793830034924348;25.811042944785274;23.177209302325583;84.81872871736661;63.28281938325991;36.9;19.3
2022;1;Janeiro;30.894387170675817;25.39534050179212;22.412671232876708;83.42026002166844;60.073581560283685;37.7;18.3
2022;2;Fevereiro;31.22002442002442;25.58633461047254;22.501339829476244;83.5763250883392;60.37643678160919;37.1;18.1
2022;3;Março;30.913267543859643;25.3886046511628;22.50229508196722;85.02505263157892;62.10280373831776;35.9;18.0
2022;4;Abril;31.812720848056536;26.076979742173123;22.675730735163864;83.07231182795697;58.515197568389056;37.9;15.2
2022;5;Maio;31.868315972222224;25.700820419325446;21.615989628349176;78.39428571428572;52.225686711210095;37.6;11.2
2022;6;Junho;31.940390625000003;25.60367892976588;21.133854573885845;77.3824782951855;49.86600142551675;36.5;11.4
2022;7;Julho;33.11913541004453;26.298634812286686;21.021183206106876;70.62397126061394;42.69430693069307;37.7;10.2
2022;8;Agosto;33.9136162127929;26.758609271523188;21.182512626262618;66.55214285714287;38.92803970223325;38.6;10.0
2022;9;Setembro;34.907504937458846;27.71223367697594;22.192772667542712;66.2541611624835;38.31957473420888;40.6;10.6
2022;10;Outubro;33.885714285714286;27.359887005649732;22.968836291913227;72.77570469798661;45.51745254133497;39.5;16.6
2022;11;Novembro;31.918710134656273;26.186821705426347;22.570127118644066;79.5548948513416;54.33246414602347;37.5;13.0
2022;12;Dezembro;31.193315327481443;25.763460104399698;22.60479082321187;82.97141896435781;58.96266829865361;36.1;18.7
2023;1;Janeiro;30.60036832412522;25.194241982507293;22.172000000000008;84.37005312084996;60.54807692307692;35.2;17.4
2023;2;Fevereiro;31.0702113156101;25.49737051792829;22.448548026805664;84.68688046647229;60.391275611368144;39.9;17.3
2023;3;Março;30.89746376811594;25.590174216027872;22.618685567010317;84.64544883866925;61.11574618096357;36.4;17.0
2023;4;Abril;31.603318722604904;26.05077030812326;22.80249158249158;83.53142857142862;58.65211891208096;37.4;17.2
2023;5;Maio;32.121724524076164;26.428733459357282;22.78156626506024;81.30123992560453;56.01435956346927;36.1;14.5
2023;6;Junho;32.49365671641793;26.068916518650084;21.345315161839842;75.22831499710486;48.63818280151433;37.2;8.0
2023;7;Julho;33.742455775234156;26.451915602443083;20.677819347942282;69.0975027144408;40.34032511798637;38.6;10.2
2023;8;Agosto;34.983051742344216;27.683854462762923;22.041566920565838;67.0716492002207;38.9083109919571;40.8;12.4
2023;9;Setembro;35.893022007514745;28.554244186046525;23.00384187082405;66.33971671388102;37.52041371801851;41.0;15.3
2023;10;Outubro;35.62950310559008;28.71377551020409;23.735695538057737;69.2061267980821;41.12532637075718;40.6;17.6
2023;11;Novembro;34.53133047210298;28.06548881036512;23.682764140875133;73.59533116178069;46.384820951362904;40.6;17.5
2023;12;Dezembro;33.23260126891165;27.207606382978735;23.51474609374999;78.80661764705887;53.17627281460135;39.1;17.9
2024;1;Janeiro;32.01184971098266;26.566473072861676;23.479749879749885;83.13984181908067;59.13921001926782;38.3;18.8
2024;2;Fevereiro;31.937664387164663;26.58977142857144;23.441552990556133;82.71205555555558;59.22678185745141;39.6;18.2
2024;3;Março;32.22520884520886;26.79055640632974;23.73420147420148;83.65603133159271;59.999499749874936;38.6;17.0
2024;4;Abril;32.096742349457045;26.7258805513017;23.768322675848484;84.3550716941052;60.36796315250768;37.7;18.1
2024;5;Maio;32.554212091179394;26.618841309823694;22.669837358304587;79.62124661246617;54.6262677484787;37.0;11.8
2024;6;Junho;33.28958549222798;26.51030110935024;21.48347022587268;73.14610130904958;46.29805615550756;37.8;12.9
2024;7;Julho;33.615501839201265;26.246562835660562;20.371115745568293;66.33963759909405;39.30470016207455;39.0;10.8
2024;8;Agosto;34.92650214592275;27.22673213311513;21.036518953550466;62.598551532033404;35.92528424472117;42.6;10.7
2024;9;Setembro;36.3601108033241;28.68397694524494;22.490392048591932;59.01502021952632;34.19487750556793;41.8;13.1
2024;10;Outubro;35.141057797164684;28.329265471370736;23.518685497012505;68.725590778098;42.58087431693989;42.2;17.9
2024;11;Novembro;33.516787912702846;27.4648271679806;23.54485825458588;75.42104046242787;50.04517568321249;38.6;18.8
2024;12;Dezembro;32.30146182999459;26.659504132231415;23.4051295896328;80.42836676217772;56.58319870759289;43.2;18.0
