"ano";"mes";"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c"
2021;8;4.6;45.22;27.09090909090909
2021;9;8.074074074074074;83.325;27.748148148148147
2021;10;14.826086956521738;166.42000000000002;27.107407407407408
2021;11;17.96153846153846;250.27777777777777;25.812
2021;12;18.53125;375.2315789473684;25.81851851851852
2022;1;19.96551724137931;293.03333333333336;25.374074074074073
2022;2;19.48148148148148;317.9529411764706;25.6
2022;3;21.5;330.6521739130435;25.364285714285714
2022;4;15.615384615384615;224.248;26.044444444444444
2022;5;12.243243243243244;180.3793103448276;25.68611111111111
2022;6;10.622222222222222;132.30322580645162;25.60238095238095
2022;7;7.666666666666667;56.55384615384615;26.312244897959182
2022;8;7.1020408163265305;47.24444444444445;26.76326530612245
2022;9;6.918367346938775;48.937777777777775;27.716666666666665
2022;10;10.872340425531915;133.72820512820513;27.4
2022;11;13.088888888888889;189.68823529411765;26.160869565217393
2022;12;20.22222222222222;273.15135135135137;25.72340425531915
2023;1;20.75;264.0421052631579;25.164444444444445
2023;2;19.693877551020407;293.0344827586207;25.51086956521739
2023;3;20.423076923076923;317.6780487804878;25.577083333333334
2023;4;17.612244897959183;222.23809523809524;26.04375
2023;5;13.907407407407407;170.53809523809522;26.465384615384615
2023;6;8.555555555555555;71.82173913043478;26.072413793103447
2023;7;6.2727272727272725;49.896;26.427586206896553
2023;8;5.107142857142857;37.043137254901964;27.685964912280703
2023;9;5.859649122807017;50.9622641509434;28.555172413793102
2023;10;7.983050847457627;68.26086956521739;28.71896551724138
2023;11;9.67741935483871;97.39545454545454;28.063793103448276
2023;12;15.363636363636363;166.32765957446807;27.203076923076924
2024;1;20.693548387096776;289.15833333333336;26.533846153846152
2024;2;17.868852459016395;288.9227272727273;26.585483870967742
2024;3;20.41269841269841;316.8862745098039;26.77076923076923
2024;4;20.246153846153845;276.5892857142857;26.719402985074627
2024;5;14.238095238095237;149.71333333333334;26.5984375
2024;6;8.114754098360656;65.64827586206897;26.515625
