"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c";"ano";"mes"
21.0;229.0;25.9;2019;3
11.0;80.4;26.5;2019;4
6.0;20.6;26.9;2019;5
0.0;0.0;24.9;2019;6
0.0;0.0;24.7;2019;7
0.0;0.0;26.1;2019;8
2.0;31.4;28.5;2019;9
10.0;93.2;27.7;2019;10
16.0;135.6;26.8;2019;11
18.0;199.0;27.0;2019;12
22.0;321.2;26.2;2020;1
18.0;267.4;26.0;2020;2
20.0;250.6;25.6;2020;3
13.0;;26.6;2020;4
;;;2020;5
;;;2020;6
;;;2020;7
;;;2020;8
;;;2020;9
;;;2020;10
1.0;;;2020;11
7.0;;;2020;12
;;;2021;1
;;;2021;2
;;;2021;3
;;;2021;4
;;;2021;5
;;;2021;6
;;;2021;7
;;;2021;8
2.0;;29.0;2021;9
17.0;183.4;27.3;2021;10
24.0;239.4;25.6;2021;11
25.0;351.2;25.3;2021;12
25.0;406.6;25.3;2022;1
19.0;207.4;25.5;2022;2
23.0;235.8;25.4;2022;3
13.0;148.4;26.3;2022;4
1.0;0.2;24.9;2022;5
0.0;0.0;24.5;2022;6
0.0;0.0;24.0;2022;7
0.0;0.0;26.1;2022;8
6.0;62.2;27.2;2022;9
5.0;20.0;27.9;2022;10
16.0;414.0;25.3;2022;11
22.0;328.0;24.7;2022;12
22.0;214.6;24.7;2023;1
18.0;124.8;25.9;2023;2
24.0;281.4;25.0;2023;3
12.0;91.2;25.6;2023;4
6.0;12.8;25.3;2023;5
0.0;0.0;24.4;2023;6
0.0;0.0;23.9;2023;7
3.0;4.2;26.0;2023;8
2.0;2.6;28.5;2023;9
10.0;68.6;29.1;2023;10
11.0;87.0;27.9;2023;11
13.0;193.8;27.1;2023;12
24.0;372.2;25.7;2024;1
20.0;211.4;25.8;2024;2
19.0;166.6;26.7;2024;3
16.0;132.0;26.6;2024;4
0.0;0.0;25.6;2024;5
0.0;0.0;23.8;2024;6
0.0;0.0;23.4;2024;7
0.0;0.0;25.3;2024;8
0.0;0.0;27.5;2024;9
12.0;33.8;28.4;2024;10
21.0;151.0;26.2;2024;11
18.0;250.8;26.2;2024;12
23.0;245.2;25.5;2015;1
7.0;;;2015;2
18.0;;26.0;2015;3
23.0;218.0;26.3;2015;4
12.0;76.0;26.8;2015;5
4.0;0.8;26.4;2015;6
1.0;0.2;26.8;2015;7
0.0;0.0;27.4;2015;8
4.0;28.6;29.2;2015;9
8.0;69.8;29.5;2015;10
15.0;219.0;27.7;2015;11
10.0;106.6;27.1;2015;12
24.0;588.2;25.8;2016;1
6.0;34.2;28.3;2016;2
20.0;228.6;27.1;2016;3
15.0;143.6;27.4;2016;4
8.0;18.2;27.5;2016;5
2.0;;;2016;6
;;;2016;7
;0.0;28.3;2016;8
;;;2016;9
6.0;;28.2;2016;10
12.0;223.4;27.5;2016;11
12.0;217.4;26.8;2016;12
16.0;285.2;25.8;2017;1
24.0;414.6;25.4;2017;2
20.0;255.0;26.4;2017;3
18.0;197.8;26.8;2017;4
9.0;11.4;27.6;2017;5
3.0;31.0;26.0;2017;6
0.0;0.0;25.3;2017;7
0.0;0.0;28.1;2017;8
0.0;0.0;29.5;2017;9
6.0;32.2;29.5;2017;10
17.0;201.4;27.0;2017;11
25.0;390.8;25.8;2017;12
22.0;253.2;25.7;2018;1
21.0;451.0;25.7;2018;2
19.0;310.8;26.4;2018;3
19.0;291.4;26.5;2018;4
4.0;1.8;27.3;2018;5
0.0;0.0;26.3;2018;6
0.0;0.0;26.4;2018;7
3.0;8.4;27.9;2018;8
7.0;48.8;28.6;2018;9
10.0;141.8;27.2;2018;10
14.0;139.8;26.9;2018;11
17.0;197.6;26.4;2018;12
8.0;;;2019;1
5.0;;;2019;2
21.0;247.4;26.3;2019;3
18.0;257.2;26.7;2019;4
11.0;102.2;27.1;2019;5
2.0;0.4;26.7;2019;6
0.0;0.0;26.7;2019;7
0.0;0.0;27.6;2019;8
4.0;26.6;29.3;2019;9
15.0;89.6;27.1;2019;10
15.0;64.2;27.0;2019;11
14.0;110.4;27.2;2019;12
23.0;227.8;26.5;2020;1
20.0;312.2;26.1;2020;2
22.0;326.2;26.1;2020;3
13.0;129.8;26.8;2020;4
4.0;72.6;27.5;2020;5
0.0;0.0;26.8;2020;6
1.0;0.2;26.2;2020;7
0.0;0.0;27.5;2020;8
0.0;0.0;29.4;2020;9
8.0;107.8;28.7;2020;10
14.0;138.4;27.3;2020;11
15.0;150.0;26.9;2020;12
17.0;146.6;26.1;2021;1
23.0;280.0;25.5;2021;2
18.0;199.0;26.4;2021;3
18.0;51.8;26.4;2021;4
8.0;21.6;26.8;2021;5
;;;2021;6
;;;2021;7
;;;2021;8
;;;2021;9
;;;2021;10
;;;2021;11
;;;2021;12
;;;2022;1
;;;2022;2
;;;2022;3
3.0;;;2022;4
;;;2022;5
;;;2022;6
;;;2022;7
;;;2022;8
;;;2022;9
;;;2022;10
;;;2022;11
;;;2022;12
;;;2023;1
;;;2023;2
25.0;257.2;25.7;2023;3
15.0;78.4;26.9;2023;4
10.0;64.0;27.5;2023;5
0.0;0.0;27.3;2023;6
0.0;0.0;27.0;2023;7
3.0;35.4;28.2;2023;8
6.0;37.4;29.2;2023;9
8.0;59.6;29.1;2023;10
13.0;102.2;28.2;2023;11
11.0;97.6;28.1;2023;12
22.0;343.2;26.7;2024;1
18.0;283.8;27.0;2024;2
19.0;274.8;27.7;2024;3
23.0;122.0;27.4;2024;4
3.0;1.0;28.2;2024;5
0.0;0.0;27.3;2024;6
0.0;0.0;27.0;2024;7
2.0;5.2;28.1;2024;8
1.0;2.2;29.8;2024;9
9.0;38.6;28.9;2024;10
15.0;257.4;27.3;2024;11
18.0;128.8;26.5;2024;12
2.0;;;2015;1
1.0;;;2015;2
4.0;;;2015;3
;;;2015;4
;;;2015;5
;;25.4;2015;6
;;;2015;7
;;;2015;8
;;;2015;9
;;;2015;10
;;;2015;11
10.0;48.2;25.9;2015;12
25.0;357.0;25.2;2016;1
14.0;123.2;26.8;2016;2
22.0;252.4;26.2;2016;3
18.0;106.0;26.2;2016;4
10.0;56.2;25.8;2016;5
10.0;87.0;24.9;2016;6
1.0;0.4;25.0;2016;7
2.0;3.8;26.0;2016;8
10.0;99.8;26.6;2016;9
11.0;82.2;26.2;2016;10
16.0;273.4;25.8;2016;11
15.0;99.4;25.4;2016;12
24.0;284.4;24.8;2017;1
22.0;333.0;24.8;2017;2
24.0;254.8;25.3;2017;3
20.0;204.0;25.4;2017;4
7.0;14.4;26.3;2017;5
5.0;64.8;24.8;2017;6
0.0;0.0;24.4;2017;7
3.0;6.4;26.4;2017;8
;0.0;27.4;2017;9
9.0;188.2;27.0;2017;10
10.0;;25.7;2017;11
22.0;232.0;24.9;2017;12
25.0;256.2;24.6;2018;1
26.0;341.8;24.7;2018;2
27.0;308.6;25.2;2018;3
18.0;123.8;25.4;2018;4
7.0;30.8;25.5;2018;5
0.0;0.0;24.8;2018;6
0.0;0.0;24.9;2018;7
5.0;12.0;25.7;2018;8
8.0;54.0;26.6;2018;9
14.0;79.2;26.6;2018;10
13.0;212.8;25.6;2018;11
16.0;164.0;25.5;2018;12
